Ontology	Metric	Value
"http://www.owl-ontologies.com/unnamed.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.owl-ontologies.com/unnamed.owl"	"SystematicNamingMetric"	NaN
"http://www.owl-ontologies.com/unnamed.owl"	"NumberOfClassesMetric"	362
"http://www.owl-ontologies.com/unnamed.owl"	"NamesPerClassMetric"	0.445
"http://www.owl-ontologies.com/unnamed.owl"	"NamesPerPropertyMetric"	0.139
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"NamesPerDataPropertyMetric"	0.15
"http://www.owl-ontologies.com/unnamed.owl"	"NamesPerObjectPropertyMetric"	0.133
"http://www.owl-ontologies.com/unnamed.owl"	"SynonymsPerClassMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"SynonymsPerPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerClassMetric"	0.511
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerPropertyMetric"	0.038
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerDataPropertyMetric"	0.033
"http://www.owl-ontologies.com/unnamed.owl"	"DescriptionsPerObjectPropertyMetric"	0.067
"http://www.owl-ontologies.com/unnamed.owl"	"ClassesWithNoNameMetric"	0.555
"http://www.owl-ontologies.com/unnamed.owl"	"ClassesWithNoDescriptionMetric"	0.489
"http://www.owl-ontologies.com/unnamed.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/unnamed.owl"	"ObjectPropertiesWithNoNameMetric"	0.867
"http://www.owl-ontologies.com/unnamed.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.933
"http://www.owl-ontologies.com/unnamed.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/unnamed.owl"	"DataPropertiesWithNoNameMetric"	0.85
"http://www.owl-ontologies.com/unnamed.owl"	"DataPropertiesWithNoDescriptionMetric"	0.967
"http://www.owl-ontologies.com/unnamed.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/unnamed.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.owl-ontologies.com/unnamed.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.owl-ontologies.com/unnamed.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
