Ontology	Metric	Value
"http://data.loterre.fr/ark:/67375/Q1W"	"NumberOfLexicalRegularitiesMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"NumberOfLexicalRegularityClassesMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"LexicalRegularitiesPerClassMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"LexicalRegularityClassPercentageMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"SystematicNamingMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"NumberOfClassesMetric"	4
"http://data.loterre.fr/ark:/67375/Q1W"	"NamesPerClassMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"NamesPerPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"NamesPerDataPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"NamesPerObjectPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"SynonymsPerClassMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"SynonymsPerPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"SynonymsPerAnnotationPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"SynonymsPerDataPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"SynonymsPerObjectPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerClassMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerDataPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"ClassesWithNoNameMetric"	1
"http://data.loterre.fr/ark:/67375/Q1W"	"ClassesWithNoDescriptionMetric"	1
"http://data.loterre.fr/ark:/67375/Q1W"	"ClassesWithNoSynonymMetric"	1
"http://data.loterre.fr/ark:/67375/Q1W"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"DataPropertiesWithNoNameMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://data.loterre.fr/ark:/67375/Q1W"	"AnnotationPropertiesWithNoNameMetric"	1
"http://data.loterre.fr/ark:/67375/Q1W"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://data.loterre.fr/ark:/67375/Q1W"	"AnnotationPropertiesWithNoSynonymMetric"	1
