Ontology	Metric	Value
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NumberOfLexicalRegularitiesMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"LexicalRegularitiesPerClassMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SystematicNamingMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NumberOfClassesMetric"	2
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NamesPerClassMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NamesPerPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NamesPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"NamesPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SynonymsPerClassMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SynonymsPerPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SynonymsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"SynonymsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerClassMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ClassesWithNoNameMetric"	1
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ClassesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ClassesWithNoSynonymMetric"	1
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DataPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/AsCoPainT/AsCoPain-T"	"AnnotationPropertiesWithNoSynonymMetric"	1
