Ontology	Metric	Value
"http://aims.fao.org/aos/agrovoc/"	"NumberOfLexicalRegularitiesMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"LexicalRegularitiesPerClassMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"LexicalRegularityClassPercentageMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://aims.fao.org/aos/agrovoc/"	"SystematicNamingMetric"	NaN
"http://aims.fao.org/aos/agrovoc/"	"NumberOfClassesMetric"	7
"http://aims.fao.org/aos/agrovoc/"	"NamesPerClassMetric"	0.667
"http://aims.fao.org/aos/agrovoc/"	"NamesPerPropertyMetric"	2.797
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerAnnotationPropertyMetric"	0.364
"http://aims.fao.org/aos/agrovoc/"	"NamesPerDataPropertyMetric"	1.812
"http://aims.fao.org/aos/agrovoc/"	"NamesPerObjectPropertyMetric"	3.195
"http://aims.fao.org/aos/agrovoc/"	"SynonymsPerClassMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"SynonymsPerPropertyMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"SynonymsPerDataPropertyMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"SynonymsPerObjectPropertyMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerClassMetric"	0.667
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerPropertyMetric"	2.491
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerAnnotationPropertyMetric"	0.636
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerDataPropertyMetric"	1
"http://aims.fao.org/aos/agrovoc/"	"DescriptionsPerObjectPropertyMetric"	2.862
"http://aims.fao.org/aos/agrovoc/"	"ClassesWithNoNameMetric"	0.2
"http://aims.fao.org/aos/agrovoc/"	"ClassesWithNoDescriptionMetric"	0.2
"http://aims.fao.org/aos/agrovoc/"	"ClassesWithNoSynonymMetric"	1
"http://aims.fao.org/aos/agrovoc/"	"ObjectPropertiesWithNoNameMetric"	0.017
"http://aims.fao.org/aos/agrovoc/"	"ObjectPropertiesWithNoDescriptionMetric"	0.391
"http://aims.fao.org/aos/agrovoc/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://aims.fao.org/aos/agrovoc/"	"DataPropertiesWithNoNameMetric"	0
"http://aims.fao.org/aos/agrovoc/"	"DataPropertiesWithNoDescriptionMetric"	0.75
"http://aims.fao.org/aos/agrovoc/"	"DataPropertiesWithNoSynonymMetric"	1
"http://aims.fao.org/aos/agrovoc/"	"AnnotationPropertiesWithNoNameMetric"	0.636
"http://aims.fao.org/aos/agrovoc/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.636
"http://aims.fao.org/aos/agrovoc/"	"AnnotationPropertiesWithNoSynonymMetric"	1
