Ontology	Metric	Value
"http://opendata.inra.fr/ATOL/"	"NumberOfLexicalRegularitiesMetric"	6
"http://opendata.inra.fr/ATOL/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inra.fr/ATOL/"	"LexicalRegularitiesPerClassMetric"	0.003
"http://opendata.inra.fr/ATOL/"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inra.fr/ATOL/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"SystematicNamingMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"NumberOfClassesMetric"	2352
"http://opendata.inra.fr/ATOL/"	"NamesPerClassMetric"	2
"http://opendata.inra.fr/ATOL/"	"NamesPerPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"NamesPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"NamesPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"SynonymsPerClassMetric"	0.995
"http://opendata.inra.fr/ATOL/"	"SynonymsPerPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"SynonymsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"SynonymsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerClassMetric"	0
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"ClassesWithNoNameMetric"	0
"http://opendata.inra.fr/ATOL/"	"ClassesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/ATOL/"	"ClassesWithNoSynonymMetric"	0.509
"http://opendata.inra.fr/ATOL/"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"DataPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/ATOL/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/ATOL/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/ATOL/"	"AnnotationPropertiesWithNoSynonymMetric"	1
