Ontology	Metric	Value
"http://opendata.inra.fr/resources/BIORAF#"	"NumberOfLexicalRegularitiesMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"LexicalRegularitiesPerClassMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inra.fr/resources/BIORAF#"	"SystematicNamingMetric"	NaN
"http://opendata.inra.fr/resources/BIORAF#"	"NumberOfClassesMetric"	657
"http://opendata.inra.fr/resources/BIORAF#"	"NamesPerClassMetric"	1.918
"http://opendata.inra.fr/resources/BIORAF#"	"NamesPerPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"NamesPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"NamesPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"SynonymsPerClassMetric"	0.107
"http://opendata.inra.fr/resources/BIORAF#"	"SynonymsPerPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"SynonymsPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"SynonymsPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerClassMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"DescriptionsPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/BIORAF#"	"ClassesWithNoNameMetric"	0.02
"http://opendata.inra.fr/resources/BIORAF#"	"ClassesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"ClassesWithNoSynonymMetric"	0.922
"http://opendata.inra.fr/resources/BIORAF#"	"ObjectPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"DataPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"DataPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"DataPropertiesWithNoSynonymMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/BIORAF#"	"AnnotationPropertiesWithNoSynonymMetric"	1
