Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NumberOfClassesMetric"	53761
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NamesPerClassMetric"	0.124
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NamesPerPropertyMetric"	0.172
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.179
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NamesPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"NamesPerObjectPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SynonymsPerClassMetric"	1.092
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ClassesWithNoNameMetric"	0.876
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ClassesWithNoDescriptionMetric"	1
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ClassesWithNoSynonymMetric"	0.642
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"AnnotationPropertiesWithNoNameMetric"	0.821
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://terminologies.gfbio.org/terms/bohlmann/2023-11-03/bohlmann.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
