Ontology	Metric	Value
"http://www.w3id.org/def/caso/201912"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.w3id.org/def/caso/201912"	"NumberOfLexicalRegularityClassesMetric"	1
"http://www.w3id.org/def/caso/201912"	"LexicalRegularitiesPerClassMetric"	0.038
"http://www.w3id.org/def/caso/201912"	"LexicalRegularityClassPercentageMetric"	0.038
"http://www.w3id.org/def/caso/201912"	"LexicallySuggestLogicallyDefineMetric"	0.667
"http://www.w3id.org/def/caso/201912"	"SystematicNamingMetric"	1
"http://www.w3id.org/def/caso/201912"	"NumberOfClassesMetric"	27
"http://www.w3id.org/def/caso/201912"	"NamesPerClassMetric"	1
"http://www.w3id.org/def/caso/201912"	"NamesPerPropertyMetric"	0.652
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"NamesPerDataPropertyMetric"	1
"http://www.w3id.org/def/caso/201912"	"NamesPerObjectPropertyMetric"	1
"http://www.w3id.org/def/caso/201912"	"SynonymsPerClassMetric"	0
"http://www.w3id.org/def/caso/201912"	"SynonymsPerPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerClassMetric"	1.115
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerPropertyMetric"	0.667
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerDataPropertyMetric"	1
"http://www.w3id.org/def/caso/201912"	"DescriptionsPerObjectPropertyMetric"	1.026
"http://www.w3id.org/def/caso/201912"	"ClassesWithNoNameMetric"	0
"http://www.w3id.org/def/caso/201912"	"ClassesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/caso/201912"	"ClassesWithNoSynonymMetric"	1
"http://www.w3id.org/def/caso/201912"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.w3id.org/def/caso/201912"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/caso/201912"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3id.org/def/caso/201912"	"DataPropertiesWithNoNameMetric"	0
"http://www.w3id.org/def/caso/201912"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/caso/201912"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3id.org/def/caso/201912"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.w3id.org/def/caso/201912"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.w3id.org/def/caso/201912"	"AnnotationPropertiesWithNoSynonymMetric"	1
