Ontology	Metric	Value
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NumberOfClassesMetric"	132
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NamesPerPropertyMetric"	0.802
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerClassMetric"	0.046
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerPropertyMetric"	0.01
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DescriptionsPerObjectPropertyMetric"	0.015
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ClassesWithNoDescriptionMetric"	0.954
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.986
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cdao/2024-01-25/cdao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
