Ontology	Metric	Value
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"LexicallySuggestLogicallyDefineMetric"	0.935
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SystematicNamingMetric"	0.685
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NumberOfClassesMetric"	15885
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NamesPerClassMetric"	0.992
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NamesPerPropertyMetric"	0.868
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.358
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"NamesPerObjectPropertyMetric"	1.1
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SynonymsPerClassMetric"	2.687
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SynonymsPerPropertyMetric"	0.037
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"SynonymsPerObjectPropertyMetric"	0.053
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerClassMetric"	1.068
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerPropertyMetric"	0.66
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.182
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DescriptionsPerObjectPropertyMetric"	0.877
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ClassesWithNoNameMetric"	0.008
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ClassesWithNoDescriptionMetric"	0.056
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ClassesWithNoSynonymMetric"	0.35
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ObjectPropertiesWithNoNameMetric"	0.083
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.224
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.954
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"AnnotationPropertiesWithNoNameMetric"	0.715
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.839
"http://purl.obolibrary.org/obo/cl/releases/2024-04-05/cl.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
