Ontology	Metric	Value
"https://cropontology.org/rdf/"	"NumberOfLexicalRegularitiesMetric"	5
"https://cropontology.org/rdf/"	"NumberOfLexicalRegularityClassesMetric"	2
"https://cropontology.org/rdf/"	"LexicalRegularitiesPerClassMetric"	0.03
"https://cropontology.org/rdf/"	"LexicalRegularityClassPercentageMetric"	0.012
"https://cropontology.org/rdf/"	"LexicallySuggestLogicallyDefineMetric"	0
"https://cropontology.org/rdf/"	"SystematicNamingMetric"	NaN
"https://cropontology.org/rdf/"	"NumberOfClassesMetric"	166
"https://cropontology.org/rdf/"	"NamesPerClassMetric"	0.904
"https://cropontology.org/rdf/"	"NamesPerPropertyMetric"	0.545
"https://cropontology.org/rdf/"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"https://cropontology.org/rdf/"	"NamesPerDataPropertyMetric"	NaN
"https://cropontology.org/rdf/"	"NamesPerObjectPropertyMetric"	1
"https://cropontology.org/rdf/"	"SynonymsPerClassMetric"	0.247
"https://cropontology.org/rdf/"	"SynonymsPerPropertyMetric"	0
"https://cropontology.org/rdf/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://cropontology.org/rdf/"	"SynonymsPerDataPropertyMetric"	NaN
"https://cropontology.org/rdf/"	"SynonymsPerObjectPropertyMetric"	0
"https://cropontology.org/rdf/"	"DescriptionsPerClassMetric"	0.494
"https://cropontology.org/rdf/"	"DescriptionsPerPropertyMetric"	0
"https://cropontology.org/rdf/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://cropontology.org/rdf/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://cropontology.org/rdf/"	"DescriptionsPerObjectPropertyMetric"	0
"https://cropontology.org/rdf/"	"ClassesWithNoNameMetric"	0.096
"https://cropontology.org/rdf/"	"ClassesWithNoDescriptionMetric"	0.506
"https://cropontology.org/rdf/"	"ClassesWithNoSynonymMetric"	0.753
"https://cropontology.org/rdf/"	"ObjectPropertiesWithNoNameMetric"	0
"https://cropontology.org/rdf/"	"ObjectPropertiesWithNoDescriptionMetric"	1
"https://cropontology.org/rdf/"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://cropontology.org/rdf/"	"DataPropertiesWithNoNameMetric"	NaN
"https://cropontology.org/rdf/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://cropontology.org/rdf/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://cropontology.org/rdf/"	"AnnotationPropertiesWithNoNameMetric"	0.625
"https://cropontology.org/rdf/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://cropontology.org/rdf/"	"AnnotationPropertiesWithNoSynonymMetric"	1
