Ontology	Metric	Value
"https://w3id.org/demeter/agri/3.0"	"NumberOfLexicalRegularitiesMetric"	0
"https://w3id.org/demeter/agri/3.0"	"NumberOfLexicalRegularityClassesMetric"	0
"https://w3id.org/demeter/agri/3.0"	"LexicalRegularitiesPerClassMetric"	0
"https://w3id.org/demeter/agri/3.0"	"LexicalRegularityClassPercentageMetric"	0
"https://w3id.org/demeter/agri/3.0"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"SystematicNamingMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"NumberOfClassesMetric"	42
"https://w3id.org/demeter/agri/3.0"	"NamesPerClassMetric"	0.857
"https://w3id.org/demeter/agri/3.0"	"NamesPerPropertyMetric"	0.88
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerAnnotationPropertyMetric"	0.88
"https://w3id.org/demeter/agri/3.0"	"NamesPerDataPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"NamesPerObjectPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"SynonymsPerClassMetric"	0
"https://w3id.org/demeter/agri/3.0"	"SynonymsPerPropertyMetric"	0
"https://w3id.org/demeter/agri/3.0"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/demeter/agri/3.0"	"SynonymsPerDataPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"SynonymsPerObjectPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerClassMetric"	0.952
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerPropertyMetric"	0.987
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerAnnotationPropertyMetric"	0.987
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerDataPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"ClassesWithNoNameMetric"	0.143
"https://w3id.org/demeter/agri/3.0"	"ClassesWithNoDescriptionMetric"	0.143
"https://w3id.org/demeter/agri/3.0"	"ClassesWithNoSynonymMetric"	1
"https://w3id.org/demeter/agri/3.0"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"DataPropertiesWithNoNameMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://w3id.org/demeter/agri/3.0"	"AnnotationPropertiesWithNoNameMetric"	0.133
"https://w3id.org/demeter/agri/3.0"	"AnnotationPropertiesWithNoDescriptionMetric"	0.16
"https://w3id.org/demeter/agri/3.0"	"AnnotationPropertiesWithNoSynonymMetric"	1
