Ontology	Metric	Value
"http://opendata.inrae.fr/ebo"	"NumberOfLexicalRegularitiesMetric"	1
"http://opendata.inrae.fr/ebo"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inrae.fr/ebo"	"LexicalRegularitiesPerClassMetric"	0.003
"http://opendata.inrae.fr/ebo"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inrae.fr/ebo"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inrae.fr/ebo"	"SystematicNamingMetric"	NaN
"http://opendata.inrae.fr/ebo"	"NumberOfClassesMetric"	335
"http://opendata.inrae.fr/ebo"	"NamesPerClassMetric"	1.776
"http://opendata.inrae.fr/ebo"	"NamesPerPropertyMetric"	0.455
"http://opendata.inrae.fr/ebo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"NamesPerDataPropertyMetric"	1.333
"http://opendata.inrae.fr/ebo"	"NamesPerObjectPropertyMetric"	1
"http://opendata.inrae.fr/ebo"	"SynonymsPerClassMetric"	0
"http://opendata.inrae.fr/ebo"	"SynonymsPerPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"SynonymsPerDataPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"SynonymsPerObjectPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"DescriptionsPerClassMetric"	0.006
"http://opendata.inrae.fr/ebo"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"DescriptionsPerDataPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"DescriptionsPerObjectPropertyMetric"	0
"http://opendata.inrae.fr/ebo"	"ClassesWithNoNameMetric"	0.015
"http://opendata.inrae.fr/ebo"	"ClassesWithNoDescriptionMetric"	0.994
"http://opendata.inrae.fr/ebo"	"ClassesWithNoSynonymMetric"	1
"http://opendata.inrae.fr/ebo"	"ObjectPropertiesWithNoNameMetric"	0
"http://opendata.inrae.fr/ebo"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://opendata.inrae.fr/ebo"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://opendata.inrae.fr/ebo"	"DataPropertiesWithNoNameMetric"	0
"http://opendata.inrae.fr/ebo"	"DataPropertiesWithNoDescriptionMetric"	1
"http://opendata.inrae.fr/ebo"	"DataPropertiesWithNoSynonymMetric"	1
"http://opendata.inrae.fr/ebo"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inrae.fr/ebo"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inrae.fr/ebo"	"AnnotationPropertiesWithNoSynonymMetric"	1
