Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NumberOfClassesMetric"	11816
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NamesPerClassMetric"	1.012
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NamesPerPropertyMetric"	0.616
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.079
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"NamesPerObjectPropertyMetric"	1.276
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SynonymsPerClassMetric"	2.811
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SynonymsPerPropertyMetric"	0.171
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SynonymsPerAnnotationPropertyMetric"	0.011
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"SynonymsPerObjectPropertyMetric"	0.369
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerClassMetric"	0.86
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerPropertyMetric"	0.502
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.041
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DescriptionsPerObjectPropertyMetric"	1.069
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ClassesWithNoDescriptionMetric"	0.186
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ClassesWithNoSynonymMetric"	0.193
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ObjectPropertiesWithNoNameMetric"	0.014
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.157
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.756
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"AnnotationPropertiesWithNoNameMetric"	0.951
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.974
"http://purl.obolibrary.org/obo/ecto/releases/2023-02-14/ecto.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.993
