Ontology	Metric	Value
"http://edamontology.org"	"NumberOfLexicalRegularitiesMetric"	1
"http://edamontology.org"	"NumberOfLexicalRegularityClassesMetric"	1
"http://edamontology.org"	"LexicalRegularitiesPerClassMetric"	0
"http://edamontology.org"	"LexicalRegularityClassPercentageMetric"	0
"http://edamontology.org"	"LexicallySuggestLogicallyDefineMetric"	0.146
"http://edamontology.org"	"SystematicNamingMetric"	1
"http://edamontology.org"	"NumberOfClassesMetric"	3465
"http://edamontology.org"	"NamesPerClassMetric"	1
"http://edamontology.org"	"NamesPerPropertyMetric"	0.415
"http://edamontology.org"	"DescriptionsPerAnnotationPropertyMetric"	0.314
"http://edamontology.org"	"NamesPerDataPropertyMetric"	NaN
"http://edamontology.org"	"NamesPerObjectPropertyMetric"	1
"http://edamontology.org"	"SynonymsPerClassMetric"	0.773
"http://edamontology.org"	"SynonymsPerPropertyMetric"	0.22
"http://edamontology.org"	"SynonymsPerAnnotationPropertyMetric"	0.129
"http://edamontology.org"	"SynonymsPerDataPropertyMetric"	NaN
"http://edamontology.org"	"SynonymsPerObjectPropertyMetric"	0.75
"http://edamontology.org"	"DescriptionsPerClassMetric"	0.204
"http://edamontology.org"	"DescriptionsPerPropertyMetric"	0.183
"http://edamontology.org"	"DescriptionsPerAnnotationPropertyMetric"	0.043
"http://edamontology.org"	"DescriptionsPerDataPropertyMetric"	NaN
"http://edamontology.org"	"DescriptionsPerObjectPropertyMetric"	1
"http://edamontology.org"	"ClassesWithNoNameMetric"	0
"http://edamontology.org"	"ClassesWithNoDescriptionMetric"	0.808
"http://edamontology.org"	"ClassesWithNoSynonymMetric"	0.699
"http://edamontology.org"	"ObjectPropertiesWithNoNameMetric"	0
"http://edamontology.org"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://edamontology.org"	"ObjectPropertiesWithNoSynonymMetric"	0.333
"http://edamontology.org"	"DataPropertiesWithNoNameMetric"	NaN
"http://edamontology.org"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://edamontology.org"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://edamontology.org"	"AnnotationPropertiesWithNoNameMetric"	0.686
"http://edamontology.org"	"AnnotationPropertiesWithNoDescriptionMetric"	0.971
"http://edamontology.org"	"AnnotationPropertiesWithNoSynonymMetric"	0.914
