Ontology	Metric	Value
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NumberOfClassesMetric"	6569
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NamesPerClassMetric"	0.999
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NamesPerPropertyMetric"	0.804
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.296
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NamesPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"NamesPerObjectPropertyMetric"	1.079
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SynonymsPerClassMetric"	1.031
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SynonymsPerPropertyMetric"	0.279
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SynonymsPerAnnotationPropertyMetric"	0.009
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"SynonymsPerObjectPropertyMetric"	0.424
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerClassMetric"	0.926
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerPropertyMetric"	0.734
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.25
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DescriptionsPerObjectPropertyMetric"	0.995
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ClassesWithNoDescriptionMetric"	0.236
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ClassesWithNoSynonymMetric"	0.613
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ObjectPropertiesWithNoNameMetric"	0.005
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.126
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.696
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DataPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.704
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.75
"http://purl.obolibrary.org/obo/envo/releases/2024-02-16/envo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.991
