Ontology	Metric	Value
"http://opendata.inra.fr/EOL/eol_ontology"	"NumberOfLexicalRegularitiesMetric"	3
"http://opendata.inra.fr/EOL/eol_ontology"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"LexicalRegularitiesPerClassMetric"	0.004
"http://opendata.inra.fr/EOL/eol_ontology"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"SystematicNamingMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"NumberOfClassesMetric"	690
"http://opendata.inra.fr/EOL/eol_ontology"	"NamesPerClassMetric"	1
"http://opendata.inra.fr/EOL/eol_ontology"	"NamesPerPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"NamesPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"NamesPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"SynonymsPerClassMetric"	0.958
"http://opendata.inra.fr/EOL/eol_ontology"	"SynonymsPerPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"SynonymsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"SynonymsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerClassMetric"	1
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerDataPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"ClassesWithNoNameMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"ClassesWithNoDescriptionMetric"	0
"http://opendata.inra.fr/EOL/eol_ontology"	"ClassesWithNoSynonymMetric"	0.561
"http://opendata.inra.fr/EOL/eol_ontology"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"DataPropertiesWithNoNameMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://opendata.inra.fr/EOL/eol_ontology"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/EOL/eol_ontology"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/EOL/eol_ontology"	"AnnotationPropertiesWithNoSynonymMetric"	1
