Ontology	Metric	Value
"http://foodie-cloud.com/model/foodie"	"NumberOfLexicalRegularitiesMetric"	0
"http://foodie-cloud.com/model/foodie"	"NumberOfLexicalRegularityClassesMetric"	0
"http://foodie-cloud.com/model/foodie"	"LexicalRegularitiesPerClassMetric"	0
"http://foodie-cloud.com/model/foodie"	"LexicalRegularityClassPercentageMetric"	0
"http://foodie-cloud.com/model/foodie"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://foodie-cloud.com/model/foodie"	"SystematicNamingMetric"	NaN
"http://foodie-cloud.com/model/foodie"	"NumberOfClassesMetric"	45
"http://foodie-cloud.com/model/foodie"	"NamesPerClassMetric"	0.841
"http://foodie-cloud.com/model/foodie"	"NamesPerPropertyMetric"	0.891
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"NamesPerDataPropertyMetric"	1
"http://foodie-cloud.com/model/foodie"	"NamesPerObjectPropertyMetric"	1
"http://foodie-cloud.com/model/foodie"	"SynonymsPerClassMetric"	0
"http://foodie-cloud.com/model/foodie"	"SynonymsPerPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"SynonymsPerAnnotationPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"SynonymsPerDataPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"SynonymsPerObjectPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerClassMetric"	0.091
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerPropertyMetric"	0.044
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerDataPropertyMetric"	0.128
"http://foodie-cloud.com/model/foodie"	"DescriptionsPerObjectPropertyMetric"	0.012
"http://foodie-cloud.com/model/foodie"	"ClassesWithNoNameMetric"	0.182
"http://foodie-cloud.com/model/foodie"	"ClassesWithNoDescriptionMetric"	0.909
"http://foodie-cloud.com/model/foodie"	"ClassesWithNoSynonymMetric"	1
"http://foodie-cloud.com/model/foodie"	"ObjectPropertiesWithNoNameMetric"	0
"http://foodie-cloud.com/model/foodie"	"ObjectPropertiesWithNoDescriptionMetric"	0.988
"http://foodie-cloud.com/model/foodie"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://foodie-cloud.com/model/foodie"	"DataPropertiesWithNoNameMetric"	0
"http://foodie-cloud.com/model/foodie"	"DataPropertiesWithNoDescriptionMetric"	0.872
"http://foodie-cloud.com/model/foodie"	"DataPropertiesWithNoSynonymMetric"	1
"http://foodie-cloud.com/model/foodie"	"AnnotationPropertiesWithNoNameMetric"	1
"http://foodie-cloud.com/model/foodie"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://foodie-cloud.com/model/foodie"	"AnnotationPropertiesWithNoSynonymMetric"	1
