Ontology	Metric	Value
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"LexicalRegularitiesPerClassMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"LexicalRegularityClassPercentageMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SystematicNamingMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NumberOfClassesMetric"	15
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NamesPerClassMetric"	0.867
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NamesPerPropertyMetric"	0.438
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NamesPerDataPropertyMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"NamesPerObjectPropertyMetric"	0.955
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SynonymsPerClassMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SynonymsPerPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"SynonymsPerObjectPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerClassMetric"	0.867
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ClassesWithNoNameMetric"	0.133
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ClassesWithNoDescriptionMetric"	0.133
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ClassesWithNoSynonymMetric"	1
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ObjectPropertiesWithNoNameMetric"	0.045
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.geco.ecophytopic.fr/geco/gecoOntology"	"AnnotationPropertiesWithNoSynonymMetric"	1
