Ontology	Metric	Value
"http://www.biointerchange.org/gfvo#"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.biointerchange.org/gfvo#"	"NumberOfLexicalRegularityClassesMetric"	1
"http://www.biointerchange.org/gfvo#"	"LexicalRegularitiesPerClassMetric"	0.01
"http://www.biointerchange.org/gfvo#"	"LexicalRegularityClassPercentageMetric"	0.01
"http://www.biointerchange.org/gfvo#"	"LexicallySuggestLogicallyDefineMetric"	0.538
"http://www.biointerchange.org/gfvo#"	"SystematicNamingMetric"	1
"http://www.biointerchange.org/gfvo#"	"NumberOfClassesMetric"	101
"http://www.biointerchange.org/gfvo#"	"NamesPerClassMetric"	0.99
"http://www.biointerchange.org/gfvo#"	"NamesPerPropertyMetric"	0.75
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"NamesPerDataPropertyMetric"	1
"http://www.biointerchange.org/gfvo#"	"NamesPerObjectPropertyMetric"	1
"http://www.biointerchange.org/gfvo#"	"SynonymsPerClassMetric"	0
"http://www.biointerchange.org/gfvo#"	"SynonymsPerPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"SynonymsPerDataPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"SynonymsPerObjectPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerClassMetric"	1
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerPropertyMetric"	0.75
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerDataPropertyMetric"	1
"http://www.biointerchange.org/gfvo#"	"DescriptionsPerObjectPropertyMetric"	1
"http://www.biointerchange.org/gfvo#"	"ClassesWithNoNameMetric"	0.01
"http://www.biointerchange.org/gfvo#"	"ClassesWithNoDescriptionMetric"	0
"http://www.biointerchange.org/gfvo#"	"ClassesWithNoSynonymMetric"	1
"http://www.biointerchange.org/gfvo#"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.biointerchange.org/gfvo#"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.biointerchange.org/gfvo#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.biointerchange.org/gfvo#"	"DataPropertiesWithNoNameMetric"	0
"http://www.biointerchange.org/gfvo#"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.biointerchange.org/gfvo#"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.biointerchange.org/gfvo#"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.biointerchange.org/gfvo#"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.biointerchange.org/gfvo#"	"AnnotationPropertiesWithNoSynonymMetric"	1
