Ontology	Metric	Value
"http://vocabs.datagraft.net/infrarisk"	"NumberOfLexicalRegularitiesMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"NumberOfLexicalRegularityClassesMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"LexicalRegularitiesPerClassMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"LexicalRegularityClassPercentageMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://vocabs.datagraft.net/infrarisk"	"SystematicNamingMetric"	NaN
"http://vocabs.datagraft.net/infrarisk"	"NumberOfClassesMetric"	33
"http://vocabs.datagraft.net/infrarisk"	"NamesPerClassMetric"	0.848
"http://vocabs.datagraft.net/infrarisk"	"NamesPerPropertyMetric"	0.774
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"NamesPerDataPropertyMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"NamesPerObjectPropertyMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"SynonymsPerClassMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"SynonymsPerPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"SynonymsPerAnnotationPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"SynonymsPerDataPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"SynonymsPerObjectPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerClassMetric"	0.848
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerDataPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"DescriptionsPerObjectPropertyMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"ClassesWithNoNameMetric"	0.152
"http://vocabs.datagraft.net/infrarisk"	"ClassesWithNoDescriptionMetric"	0.152
"http://vocabs.datagraft.net/infrarisk"	"ClassesWithNoSynonymMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"ObjectPropertiesWithNoNameMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"DataPropertiesWithNoNameMetric"	0
"http://vocabs.datagraft.net/infrarisk"	"DataPropertiesWithNoDescriptionMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"DataPropertiesWithNoSynonymMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"AnnotationPropertiesWithNoNameMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://vocabs.datagraft.net/infrarisk"	"AnnotationPropertiesWithNoSynonymMetric"	1
