Ontology	Metric	Value
"http://www.w3id.org/def/irrig/201905"	"NumberOfLexicalRegularitiesMetric"	21
"http://www.w3id.org/def/irrig/201905"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.w3id.org/def/irrig/201905"	"LexicalRegularitiesPerClassMetric"	0.568
"http://www.w3id.org/def/irrig/201905"	"LexicalRegularityClassPercentageMetric"	0
"http://www.w3id.org/def/irrig/201905"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.w3id.org/def/irrig/201905"	"SystematicNamingMetric"	NaN
"http://www.w3id.org/def/irrig/201905"	"NumberOfClassesMetric"	37
"http://www.w3id.org/def/irrig/201905"	"NamesPerClassMetric"	1
"http://www.w3id.org/def/irrig/201905"	"NamesPerPropertyMetric"	0.462
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"NamesPerDataPropertyMetric"	1
"http://www.w3id.org/def/irrig/201905"	"NamesPerObjectPropertyMetric"	1
"http://www.w3id.org/def/irrig/201905"	"SynonymsPerClassMetric"	0
"http://www.w3id.org/def/irrig/201905"	"SynonymsPerPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerClassMetric"	1
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerPropertyMetric"	0.462
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerDataPropertyMetric"	1
"http://www.w3id.org/def/irrig/201905"	"DescriptionsPerObjectPropertyMetric"	1
"http://www.w3id.org/def/irrig/201905"	"ClassesWithNoNameMetric"	0
"http://www.w3id.org/def/irrig/201905"	"ClassesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/irrig/201905"	"ClassesWithNoSynonymMetric"	1
"http://www.w3id.org/def/irrig/201905"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.w3id.org/def/irrig/201905"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/irrig/201905"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3id.org/def/irrig/201905"	"DataPropertiesWithNoNameMetric"	0
"http://www.w3id.org/def/irrig/201905"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.w3id.org/def/irrig/201905"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3id.org/def/irrig/201905"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.w3id.org/def/irrig/201905"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.w3id.org/def/irrig/201905"	"AnnotationPropertiesWithNoSynonymMetric"	1
