Ontology	Metric	Value
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NumberOfLexicalRegularitiesMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"LexicalRegularitiesPerClassMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"LexicalRegularityClassPercentageMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SystematicNamingMetric"	NaN
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NumberOfClassesMetric"	259
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NamesPerClassMetric"	1.876
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NamesPerPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NamesPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"NamesPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SynonymsPerClassMetric"	0.116
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SynonymsPerPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SynonymsPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"SynonymsPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerClassMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerDataPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DescriptionsPerObjectPropertyMetric"	0
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ClassesWithNoNameMetric"	0.05
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ClassesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ClassesWithNoSynonymMetric"	0.895
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ObjectPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DataPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DataPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"DataPropertiesWithNoSynonymMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"AnnotationPropertiesWithNoNameMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://opendata.inra.fr/resources/MICROFILTRATION#"	"AnnotationPropertiesWithNoSynonymMetric"	1
