Ontology	Metric	Value
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NumberOfLexicalRegularitiesMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SystematicNamingMetric"	NaN
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NumberOfClassesMetric"	302
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NamesPerClassMetric"	0.325
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NamesPerPropertyMetric"	0.024
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.036
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NamesPerDataPropertyMetric"	NaN
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"NamesPerObjectPropertyMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SynonymsPerClassMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SynonymsPerPropertyMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SynonymsPerDataPropertyMetric"	NaN
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"SynonymsPerObjectPropertyMetric"	0
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerClassMetric"	0.318
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerPropertyMetric"	0.049
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.071
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/src/ontology/ons_release_v1.1.owl"	"DescriptionsPerObjectPropertyMetric"	0
