Ontology	Metric	Value
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NumberOfClassesMetric"	4219
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NamesPerPropertyMetric"	0.429
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.385
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SynonymsPerClassMetric"	0.231
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ClassesWithNoDescriptionMetric"	0.999
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ClassesWithNoSynonymMetric"	0.837
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"AnnotationPropertiesWithNoNameMetric"	0.615
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/OntoBiotope.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
