Repository,OQUARE.xml,OQUARE.ttl,HURON_long.tsv,HURON_wide.tsv,HURON.ttl,OntologyFilename
data.agroportal.lirmm.fr,T,T,T,T,T,top-20180226-owl__TOP-AgroPortal-final2.rdf
data.agroportal.lirmm.fr,T,T,T,T,T,co_356-20211220-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,inraethes-20210317-skos__thesaurusINRAE-skos-2024-02-05-V2.0.rdf
data.agroportal.lirmm.fr,F,F,T,T,T,demeter-aim-20230317-owl__demeterAgriProfile.ttl
data.agroportal.lirmm.fr,F,F,T,T,T,ebo-20230818-owl__ebo.owl
data.agroportal.lirmm.fr,T,T,T,T,T,cdao-20240125-owl__cdao.owl
data.agroportal.lirmm.fr,T,T,T,T,T,cvo-20210215-skos__cvo-ver-2-03-modified-AgroPortal.ttl
data.agroportal.lirmm.fr,T,T,T,T,T,co_321-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,gemet-20220117-skos__gemet.rdf
data.agroportal.lirmm.fr,T,T,T,T,T,co_345-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,eol-20200123-owl__eol.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_326-20240502-owl__rdf.owl
data.agroportal.lirmm.fr,T,T,T,T,T,ppo-20191211-owl__ppo.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_343-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,biorefinery-20230112-owl__BIOREFINERY1.owl
data.agroportal.lirmm.fr,F,F,T,T,T,om-20240418-owl__om-2.0.rdf
data.agroportal.lirmm.fr,T,T,T,T,T,edam-20200618-owl__EDAM.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_336-20211025-owl__co-336.rdf
data.agroportal.lirmm.fr,F,F,T,T,T,taxrank-20240327-owl__taxrank.owl
data.agroportal.lirmm.fr,T,T,T,T,T,sty-20220705-umls__umls-semantictypes.ttl
data.agroportal.lirmm.fr,F,F,T,T,T,cl-20240408-owl__cl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,irrig-20200313-owl__ontology.owl
data.agroportal.lirmm.fr,F,F,T,T,T,co_357-20220211-owl__co-357.rdf
data.agroportal.lirmm.fr,T,T,T,T,T,lpt-20221229-obo__lpt.obo
data.agroportal.lirmm.fr,T,T,T,T,T,ppdo-20240430-owl__blob.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_366-20211201-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_331-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_337-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,go-20240430-owl__go.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_369-20221110-owl__rdf.owl
data.agroportal.lirmm.fr,T,T,T,T,T,cdno-20240329-owl__cdno.owl
data.agroportal.lirmm.fr,T,T,T,T,T,ontobiotope-20211201-obo__OntoBiotope-oct-2021.obo
data.agroportal.lirmm.fr,T,T,T,T,T,saref4envi-20240305-owl__saref4envi.ttl
data.agroportal.lirmm.fr,T,T,T,T,T,dsw-20220218-owl__dsw.owl
data.agroportal.lirmm.fr,F,F,T,T,T,csopra-20240204-owl__ontology.owl
data.agroportal.lirmm.fr,T,T,T,T,T,ascopain-t-20171019-skos__AscoPain-T-1.0.rdf
data.agroportal.lirmm.fr,T,T,T,T,T,oboe-20170922-owl__oboe.owl
data.agroportal.lirmm.fr,F,F,T,T,T,adw-20240503-owl__ADW-ontology.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_333-20220209-owl__co-333.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_320-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,co_348-20220104-owl__owl.owl
data.agroportal.lirmm.fr,T,T,T,T,T,ssn-20180813-owl__ssn.owl
data.agroportal.lirmm.fr,T,T,T,T,T,uo-20240411-owl__uo.owl
data.agroportal.lirmm.fr,T,T,T,T,T,wheatphenotype-20230908-obo__WheatPhenotype-Ontology-v3.2.obo
data.agroportal.lirmm.fr,F,F,T,T,T,ecto-20240410-owl__ecto.owl
