Ontology	Metric	Value
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NumberOfLexicalRegularitiesMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SystematicNamingMetric"	NaN
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NumberOfClassesMetric"	104
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NamesPerClassMetric"	0.981
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NamesPerPropertyMetric"	0.912
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.125
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NamesPerDataPropertyMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"NamesPerObjectPropertyMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SynonymsPerClassMetric"	0.01
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SynonymsPerPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SynonymsPerDataPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"SynonymsPerObjectPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerClassMetric"	0.481
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerPropertyMetric"	0.025
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerDataPropertyMetric"	0.054
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DescriptionsPerObjectPropertyMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ClassesWithNoNameMetric"	0.019
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ClassesWithNoDescriptionMetric"	0.587
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ClassesWithNoSynonymMetric"	0.99
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ObjectPropertiesWithNoNameMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DataPropertiesWithNoNameMetric"	0
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DataPropertiesWithNoDescriptionMetric"	0.946
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"AnnotationPropertiesWithNoNameMetric"	0.875
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://bitbucket.org/PlantExpAssay/ontology/raw/v0.1/PlantExperimentalAssayOntology.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
