Ontology	Metric	Value
"http://opendata.inra.fr/PO2/"	"NumberOfLexicalRegularitiesMetric"	2
"http://opendata.inra.fr/PO2/"	"NumberOfLexicalRegularityClassesMetric"	1
"http://opendata.inra.fr/PO2/"	"LexicalRegularitiesPerClassMetric"	0.03
"http://opendata.inra.fr/PO2/"	"LexicalRegularityClassPercentageMetric"	0.015
"http://opendata.inra.fr/PO2/"	"LexicallySuggestLogicallyDefineMetric"	1
"http://opendata.inra.fr/PO2/"	"NumberOfClassesMetric"	67
"http://opendata.inra.fr/PO2/"	"NamesPerClassMetric"	0.97
"http://opendata.inra.fr/PO2/"	"NamesPerPropertyMetric"	0.661
"http://opendata.inra.fr/PO2/"	"DescriptionsPerAnnotationPropertyMetric"	0.381
"http://opendata.inra.fr/PO2/"	"NamesPerDataPropertyMetric"	0.308
"http://opendata.inra.fr/PO2/"	"NamesPerObjectPropertyMetric"	0.909
"http://opendata.inra.fr/PO2/"	"SynonymsPerClassMetric"	0.03
"http://opendata.inra.fr/PO2/"	"SynonymsPerPropertyMetric"	0.017
"http://opendata.inra.fr/PO2/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://opendata.inra.fr/PO2/"	"SynonymsPerDataPropertyMetric"	0
"http://opendata.inra.fr/PO2/"	"SynonymsPerObjectPropertyMetric"	0.03
"http://opendata.inra.fr/PO2/"	"DescriptionsPerClassMetric"	0.727
"http://opendata.inra.fr/PO2/"	"DescriptionsPerPropertyMetric"	0.628
"http://opendata.inra.fr/PO2/"	"DescriptionsPerAnnotationPropertyMetric"	0.048
"http://opendata.inra.fr/PO2/"	"DescriptionsPerDataPropertyMetric"	0.154
"http://opendata.inra.fr/PO2/"	"DescriptionsPerObjectPropertyMetric"	1.091
"http://opendata.inra.fr/PO2/"	"ClassesWithNoNameMetric"	0.03
"http://opendata.inra.fr/PO2/"	"ClassesWithNoDescriptionMetric"	0.515
"http://opendata.inra.fr/PO2/"	"ClassesWithNoSynonymMetric"	0.97
"http://opendata.inra.fr/PO2/"	"ObjectPropertiesWithNoNameMetric"	0.091
"http://opendata.inra.fr/PO2/"	"ObjectPropertiesWithNoDescriptionMetric"	0.424
"http://opendata.inra.fr/PO2/"	"ObjectPropertiesWithNoSynonymMetric"	0.97
"http://opendata.inra.fr/PO2/"	"DataPropertiesWithNoNameMetric"	0.692
"http://opendata.inra.fr/PO2/"	"DataPropertiesWithNoDescriptionMetric"	0.923
"http://opendata.inra.fr/PO2/"	"DataPropertiesWithNoSynonymMetric"	1
"http://opendata.inra.fr/PO2/"	"AnnotationPropertiesWithNoNameMetric"	0.619
"http://opendata.inra.fr/PO2/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.952
"http://opendata.inra.fr/PO2/"	"AnnotationPropertiesWithNoSynonymMetric"	1
