Ontology	Metric	Value
"https://opendata.inrae.fr/ppd-def/1.3"	"NumberOfLexicalRegularitiesMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"NumberOfLexicalRegularityClassesMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"LexicalRegularitiesPerClassMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"LexicalRegularityClassPercentageMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"SystematicNamingMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"NumberOfClassesMetric"	538
"https://opendata.inrae.fr/ppd-def/1.3"	"NamesPerClassMetric"	3.961
"https://opendata.inrae.fr/ppd-def/1.3"	"NamesPerPropertyMetric"	0.348
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerAnnotationPropertyMetric"	0.211
"https://opendata.inrae.fr/ppd-def/1.3"	"NamesPerDataPropertyMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"NamesPerObjectPropertyMetric"	1
"https://opendata.inrae.fr/ppd-def/1.3"	"SynonymsPerClassMetric"	0.011
"https://opendata.inrae.fr/ppd-def/1.3"	"SynonymsPerPropertyMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"SynonymsPerAnnotationPropertyMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"SynonymsPerDataPropertyMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"SynonymsPerObjectPropertyMetric"	0
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerClassMetric"	3.976
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerPropertyMetric"	0.696
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerAnnotationPropertyMetric"	0.579
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerDataPropertyMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"DescriptionsPerObjectPropertyMetric"	1.25
"https://opendata.inrae.fr/ppd-def/1.3"	"ClassesWithNoNameMetric"	0.006
"https://opendata.inrae.fr/ppd-def/1.3"	"ClassesWithNoDescriptionMetric"	0.004
"https://opendata.inrae.fr/ppd-def/1.3"	"ClassesWithNoSynonymMetric"	0.998
"https://opendata.inrae.fr/ppd-def/1.3"	"ObjectPropertiesWithNoNameMetric"	0.5
"https://opendata.inrae.fr/ppd-def/1.3"	"ObjectPropertiesWithNoDescriptionMetric"	0.25
"https://opendata.inrae.fr/ppd-def/1.3"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://opendata.inrae.fr/ppd-def/1.3"	"DataPropertiesWithNoNameMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://opendata.inrae.fr/ppd-def/1.3"	"AnnotationPropertiesWithNoNameMetric"	0.789
"https://opendata.inrae.fr/ppd-def/1.3"	"AnnotationPropertiesWithNoDescriptionMetric"	0.684
"https://opendata.inrae.fr/ppd-def/1.3"	"AnnotationPropertiesWithNoSynonymMetric"	1
