Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"LexicalRegularitiesPerClassMetric"	0.018
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NumberOfClassesMetric"	57
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NamesPerClassMetric"	1.053
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NamesPerPropertyMetric"	0.974
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.708
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"NamesPerObjectPropertyMetric"	1.029
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SynonymsPerClassMetric"	0.684
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SynonymsPerPropertyMetric"	0.383
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SynonymsPerAnnotationPropertyMetric"	0.029
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"SynonymsPerObjectPropertyMetric"	0.457
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerClassMetric"	1.123
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerPropertyMetric"	0.899
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.526
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerDataPropertyMetric"	2
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DescriptionsPerObjectPropertyMetric"	0.976
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ClassesWithNoNameMetric"	0.036
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ClassesWithNoDescriptionMetric"	0.179
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ClassesWithNoSynonymMetric"	0.696
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ObjectPropertiesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.132
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.717
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"AnnotationPropertiesWithNoNameMetric"	0.336
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.518
"http://purl.obolibrary.org/obo/ro/releases/2024-04-24/ro.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.978
