Ontology	Metric	Value
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"LexicalRegularitiesPerClassMetric"	0.004
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SystematicNamingMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NumberOfClassesMetric"	906
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NamesPerClassMetric"	1.015
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NamesPerPropertyMetric"	0.964
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.578
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"NamesPerObjectPropertyMetric"	1.079
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SynonymsPerClassMetric"	0.503
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SynonymsPerPropertyMetric"	0.249
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"SynonymsPerObjectPropertyMetric"	0.322
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerClassMetric"	0.449
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerPropertyMetric"	0.711
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.133
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DescriptionsPerObjectPropertyMetric"	0.882
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ClassesWithNoNameMetric"	0.002
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ClassesWithNoDescriptionMetric"	0.607
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ClassesWithNoSynonymMetric"	0.831
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ObjectPropertiesWithNoNameMetric"	0.007
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.191
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.776
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"AnnotationPropertiesWithNoNameMetric"	0.444
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.867
"http://purl.unep.org/sdg/releases/2018-08-10/sdgio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
