Ontology	Metric	Value
"http://semanticscience.org/ontology/sio.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://semanticscience.org/ontology/sio.owl"	"SystematicNamingMetric"	NaN
"http://semanticscience.org/ontology/sio.owl"	"NumberOfClassesMetric"	1584
"http://semanticscience.org/ontology/sio.owl"	"NamesPerClassMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"NamesPerPropertyMetric"	0.876
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"NamesPerDataPropertyMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"NamesPerObjectPropertyMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"SynonymsPerClassMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"SynonymsPerPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"SynonymsPerDataPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerClassMetric"	0.015
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerPropertyMetric"	0.017
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"DescriptionsPerObjectPropertyMetric"	0.019
"http://semanticscience.org/ontology/sio.owl"	"ClassesWithNoNameMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"ClassesWithNoDescriptionMetric"	0.985
"http://semanticscience.org/ontology/sio.owl"	"ClassesWithNoSynonymMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.981
"http://semanticscience.org/ontology/sio.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"DataPropertiesWithNoNameMetric"	0
"http://semanticscience.org/ontology/sio.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://semanticscience.org/ontology/sio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
