Ontology	Metric	Value
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NumberOfClassesMetric"	2391
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NamesPerPropertyMetric"	0.835
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.634
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SynonymsPerClassMetric"	1.795
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerClassMetric"	1.279
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerPropertyMetric"	0.692
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.098
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DescriptionsPerObjectPropertyMetric"	1.18
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ClassesWithNoDescriptionMetric"	0.002
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ClassesWithNoSynonymMetric"	0.057
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.34
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"AnnotationPropertiesWithNoNameMetric"	0.366
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.902
"http://purl.obolibrary.org/obo/so/2024-04-10/so.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
