Ontology	Metric	Value
"http://www.w3.org/ns/sosa/"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.w3.org/ns/sosa/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.w3.org/ns/sosa/"	"LexicalRegularitiesPerClassMetric"	0.062
"http://www.w3.org/ns/sosa/"	"LexicalRegularityClassPercentageMetric"	0
"http://www.w3.org/ns/sosa/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.w3.org/ns/sosa/"	"SystematicNamingMetric"	NaN
"http://www.w3.org/ns/sosa/"	"NumberOfClassesMetric"	16
"http://www.w3.org/ns/sosa/"	"NamesPerClassMetric"	0.812
"http://www.w3.org/ns/sosa/"	"NamesPerPropertyMetric"	0.575
"http://www.w3.org/ns/sosa/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"NamesPerDataPropertyMetric"	1
"http://www.w3.org/ns/sosa/"	"NamesPerObjectPropertyMetric"	1
"http://www.w3.org/ns/sosa/"	"SynonymsPerClassMetric"	0
"http://www.w3.org/ns/sosa/"	"SynonymsPerPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"DescriptionsPerClassMetric"	1.812
"http://www.w3.org/ns/sosa/"	"DescriptionsPerPropertyMetric"	1.15
"http://www.w3.org/ns/sosa/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/sosa/"	"DescriptionsPerDataPropertyMetric"	2
"http://www.w3.org/ns/sosa/"	"DescriptionsPerObjectPropertyMetric"	2
"http://www.w3.org/ns/sosa/"	"ClassesWithNoNameMetric"	0.188
"http://www.w3.org/ns/sosa/"	"ClassesWithNoDescriptionMetric"	0.188
"http://www.w3.org/ns/sosa/"	"ClassesWithNoSynonymMetric"	1
"http://www.w3.org/ns/sosa/"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/sosa/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/sosa/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/sosa/"	"DataPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/sosa/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/sosa/"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/sosa/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.w3.org/ns/sosa/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.w3.org/ns/sosa/"	"AnnotationPropertiesWithNoSynonymMetric"	1
