Ontology	Metric	Value
"http://purl.obolibrary.org/obo/TEMP.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/TEMP.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/TEMP.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://purl.obolibrary.org/obo/TEMP.owl"	"LexicalRegularityClassPercentageMetric"	0.004
"http://purl.obolibrary.org/obo/TEMP.owl"	"LexicallySuggestLogicallyDefineMetric"	0.99
"http://purl.obolibrary.org/obo/TEMP.owl"	"SystematicNamingMetric"	0.75
"http://purl.obolibrary.org/obo/TEMP.owl"	"NumberOfClassesMetric"	493
"http://purl.obolibrary.org/obo/TEMP.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/TEMP.owl"	"NamesPerPropertyMetric"	0.476
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.389
"http://purl.obolibrary.org/obo/TEMP.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/TEMP.owl"	"SynonymsPerClassMetric"	0.229
"http://purl.obolibrary.org/obo/TEMP.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerClassMetric"	0.56
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"ClassesWithNoDescriptionMetric"	0.44
"http://purl.obolibrary.org/obo/TEMP.owl"	"ClassesWithNoSynonymMetric"	0.801
"http://purl.obolibrary.org/obo/TEMP.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/TEMP.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/TEMP.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/TEMP.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/TEMP.owl"	"AnnotationPropertiesWithNoNameMetric"	0.611
"http://purl.obolibrary.org/obo/TEMP.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/TEMP.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
