Ontology	Metric	Value
"http://www.w3.org/ns/ssn/"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.w3.org/ns/ssn/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.w3.org/ns/ssn/"	"LexicalRegularitiesPerClassMetric"	0
"http://www.w3.org/ns/ssn/"	"LexicalRegularityClassPercentageMetric"	0
"http://www.w3.org/ns/ssn/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.w3.org/ns/ssn/"	"SystematicNamingMetric"	NaN
"http://www.w3.org/ns/ssn/"	"NumberOfClassesMetric"	22
"http://www.w3.org/ns/ssn/"	"NamesPerClassMetric"	0.905
"http://www.w3.org/ns/ssn/"	"NamesPerPropertyMetric"	0.692
"http://www.w3.org/ns/ssn/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"NamesPerDataPropertyMetric"	1
"http://www.w3.org/ns/ssn/"	"NamesPerObjectPropertyMetric"	1
"http://www.w3.org/ns/ssn/"	"SynonymsPerClassMetric"	0
"http://www.w3.org/ns/ssn/"	"SynonymsPerPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"SynonymsPerDataPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"SynonymsPerObjectPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"DescriptionsPerClassMetric"	1.952
"http://www.w3.org/ns/ssn/"	"DescriptionsPerPropertyMetric"	1.385
"http://www.w3.org/ns/ssn/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/ssn/"	"DescriptionsPerDataPropertyMetric"	2
"http://www.w3.org/ns/ssn/"	"DescriptionsPerObjectPropertyMetric"	2
"http://www.w3.org/ns/ssn/"	"ClassesWithNoNameMetric"	0.095
"http://www.w3.org/ns/ssn/"	"ClassesWithNoDescriptionMetric"	0.095
"http://www.w3.org/ns/ssn/"	"ClassesWithNoSynonymMetric"	1
"http://www.w3.org/ns/ssn/"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/ssn/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/ssn/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/ssn/"	"DataPropertiesWithNoNameMetric"	0
"http://www.w3.org/ns/ssn/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://www.w3.org/ns/ssn/"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.w3.org/ns/ssn/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.w3.org/ns/ssn/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.w3.org/ns/ssn/"	"AnnotationPropertiesWithNoSynonymMetric"	1
