Ontology	Metric	Value
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"LexicalRegularitiesPerClassMetric"	0.007
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SystematicNamingMetric"	0.467
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NumberOfClassesMetric"	572
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NamesPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"NamesPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SynonymsPerClassMetric"	0.75
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerClassMetric"	0.71
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ClassesWithNoDescriptionMetric"	0.29
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ClassesWithNoSynonymMetric"	0.497
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
