Ontology	Metric	Value
"http://purl.obolibrary.org/obo/vario.owl"	"NumberOfLexicalRegularitiesMetric"	9
"http://purl.obolibrary.org/obo/vario.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/vario.owl"	"LexicalRegularitiesPerClassMetric"	0.018
"http://purl.obolibrary.org/obo/vario.owl"	"LexicalRegularityClassPercentageMetric"	0.004
"http://purl.obolibrary.org/obo/vario.owl"	"LexicallySuggestLogicallyDefineMetric"	0.448
"http://purl.obolibrary.org/obo/vario.owl"	"SystematicNamingMetric"	0.166
"http://purl.obolibrary.org/obo/vario.owl"	"NumberOfClassesMetric"	495
"http://purl.obolibrary.org/obo/vario.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/vario.owl"	"NamesPerPropertyMetric"	0.73
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.obolibrary.org/obo/vario.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/vario.owl"	"SynonymsPerClassMetric"	0.113
"http://purl.obolibrary.org/obo/vario.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerClassMetric"	0.996
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerPropertyMetric"	0.432
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"DescriptionsPerObjectPropertyMetric"	0.762
"http://purl.obolibrary.org/obo/vario.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"ClassesWithNoDescriptionMetric"	0.008
"http://purl.obolibrary.org/obo/vario.owl"	"ClassesWithNoSynonymMetric"	0.911
"http://purl.obolibrary.org/obo/vario.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/vario.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.476
"http://purl.obolibrary.org/obo/vario.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/vario.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/vario.owl"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.obolibrary.org/obo/vario.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/vario.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
