Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NumberOfClassesMetric"	6
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NamesPerClassMetric"	1
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NamesPerPropertyMetric"	0.721
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.167
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NamesPerDataPropertyMetric"	0.798
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SynonymsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SynonymsPerDataPropertyMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerClassMetric"	1
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerPropertyMetric"	0.687
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.111
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerDataPropertyMetric"	0.767
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ClassesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ClassesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ClassesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DataPropertiesWithNoNameMetric"	0.202
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DataPropertiesWithNoDescriptionMetric"	0.233
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"AnnotationPropertiesWithNoNameMetric"	0.833
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.889
"http://terminologies.gfbio.org/terms/ets/2019-03-15/ets.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
