Ontology	Metric	Value
"https://www.geonames.org/ontology"	"NumberOfLexicalRegularitiesMetric"	1
"https://www.geonames.org/ontology"	"NumberOfLexicalRegularityClassesMetric"	1
"https://www.geonames.org/ontology"	"LexicalRegularitiesPerClassMetric"	0.071
"https://www.geonames.org/ontology"	"LexicalRegularityClassPercentageMetric"	0.071
"https://www.geonames.org/ontology"	"LexicallySuggestLogicallyDefineMetric"	1
"https://www.geonames.org/ontology"	"SystematicNamingMetric"	1
"https://www.geonames.org/ontology"	"NumberOfClassesMetric"	15
"https://www.geonames.org/ontology"	"NamesPerClassMetric"	0.643
"https://www.geonames.org/ontology"	"NamesPerPropertyMetric"	0.596
"https://www.geonames.org/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0.2
"https://www.geonames.org/ontology"	"NamesPerDataPropertyMetric"	0.8
"https://www.geonames.org/ontology"	"NamesPerObjectPropertyMetric"	1
"https://www.geonames.org/ontology"	"SynonymsPerClassMetric"	0
"https://www.geonames.org/ontology"	"SynonymsPerPropertyMetric"	0
"https://www.geonames.org/ontology"	"SynonymsPerAnnotationPropertyMetric"	0
"https://www.geonames.org/ontology"	"SynonymsPerDataPropertyMetric"	0
"https://www.geonames.org/ontology"	"SynonymsPerObjectPropertyMetric"	0
"https://www.geonames.org/ontology"	"DescriptionsPerClassMetric"	0.643
"https://www.geonames.org/ontology"	"DescriptionsPerPropertyMetric"	0.526
"https://www.geonames.org/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0.4
"https://www.geonames.org/ontology"	"DescriptionsPerDataPropertyMetric"	0.533
"https://www.geonames.org/ontology"	"DescriptionsPerObjectPropertyMetric"	0.706
"https://www.geonames.org/ontology"	"ClassesWithNoNameMetric"	0.357
"https://www.geonames.org/ontology"	"ClassesWithNoDescriptionMetric"	0.357
"https://www.geonames.org/ontology"	"ClassesWithNoSynonymMetric"	1
"https://www.geonames.org/ontology"	"ObjectPropertiesWithNoNameMetric"	0
"https://www.geonames.org/ontology"	"ObjectPropertiesWithNoDescriptionMetric"	0.294
"https://www.geonames.org/ontology"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://www.geonames.org/ontology"	"DataPropertiesWithNoNameMetric"	0.2
"https://www.geonames.org/ontology"	"DataPropertiesWithNoDescriptionMetric"	0.6
"https://www.geonames.org/ontology"	"DataPropertiesWithNoSynonymMetric"	1
"https://www.geonames.org/ontology"	"AnnotationPropertiesWithNoNameMetric"	0.8
"https://www.geonames.org/ontology"	"AnnotationPropertiesWithNoDescriptionMetric"	0.8
"https://www.geonames.org/ontology"	"AnnotationPropertiesWithNoSynonymMetric"	1
