Ontology	Metric	Value
"https://w3id.org/iadopt/ont/0.9.1"	"NumberOfLexicalRegularitiesMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"NumberOfLexicalRegularityClassesMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"LexicalRegularitiesPerClassMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"LexicalRegularityClassPercentageMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"SystematicNamingMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"NumberOfClassesMetric"	4
"https://w3id.org/iadopt/ont/0.9.1"	"NamesPerClassMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"NamesPerPropertyMetric"	0.24
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"NamesPerDataPropertyMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"NamesPerObjectPropertyMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"SynonymsPerClassMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"SynonymsPerPropertyMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"SynonymsPerDataPropertyMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"SynonymsPerObjectPropertyMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerClassMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerPropertyMetric"	0.24
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerDataPropertyMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"DescriptionsPerObjectPropertyMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"ClassesWithNoNameMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"ClassesWithNoDescriptionMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"ClassesWithNoSynonymMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"ObjectPropertiesWithNoNameMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"ObjectPropertiesWithNoDescriptionMetric"	0
"https://w3id.org/iadopt/ont/0.9.1"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"DataPropertiesWithNoNameMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://w3id.org/iadopt/ont/0.9.1"	"AnnotationPropertiesWithNoNameMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://w3id.org/iadopt/ont/0.9.1"	"AnnotationPropertiesWithNoSynonymMetric"	1
