Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NumberOfClassesMetric"	3
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NamesPerClassMetric"	1
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NamesPerPropertyMetric"	0.583
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.458
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NamesPerDataPropertyMetric"	0.833
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"NamesPerObjectPropertyMetric"	0.833
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SynonymsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SynonymsPerDataPropertyMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerClassMetric"	1.333
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerPropertyMetric"	0.5
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerDataPropertyMetric"	0.833
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DescriptionsPerObjectPropertyMetric"	0.667
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ClassesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ClassesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ClassesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ObjectPropertiesWithNoNameMetric"	0.333
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.333
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DataPropertiesWithNoNameMetric"	0.167
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DataPropertiesWithNoDescriptionMetric"	0.167
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"AnnotationPropertiesWithNoNameMetric"	0.583
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://terminologies.gfbio.org/terms/iho/2019-11-27/iho.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
