Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NumberOfClassesMetric"	10
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NamesPerClassMetric"	3
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NamesPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NamesPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SynonymsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerClassMetric"	1
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ClassesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ClassesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ClassesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://terminologies.gfbio.org/terms/kingdom/releases/1.0/kingdom.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
