Ontology	Metric	Value
"http://www.lithologs.net/skos/igneous_rocks/all"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"LexicalRegularitiesPerClassMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"LexicalRegularityClassPercentageMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"SystematicNamingMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"NumberOfClassesMetric"	3
"http://www.lithologs.net/skos/igneous_rocks/all"	"NamesPerClassMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"NamesPerPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"NamesPerDataPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"NamesPerObjectPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"SynonymsPerClassMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"SynonymsPerPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"SynonymsPerObjectPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerClassMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"ClassesWithNoNameMetric"	1
"http://www.lithologs.net/skos/igneous_rocks/all"	"ClassesWithNoDescriptionMetric"	1
"http://www.lithologs.net/skos/igneous_rocks/all"	"ClassesWithNoSynonymMetric"	1
"http://www.lithologs.net/skos/igneous_rocks/all"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.lithologs.net/skos/igneous_rocks/all"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.lithologs.net/skos/igneous_rocks/all"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.lithologs.net/skos/igneous_rocks/all"	"AnnotationPropertiesWithNoSynonymMetric"	1
