Ontology	Metric	Value
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SystematicNamingMetric"	NaN
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NumberOfClassesMetric"	292
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerClassMetric"	0.072
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerPropertyMetric"	0.575
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerDataPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"NamesPerObjectPropertyMetric"	0.958
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerClassMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerDataPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerClassMetric"	0.179
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerPropertyMetric"	0.825
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.444
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerDataPropertyMetric"	0.857
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DescriptionsPerObjectPropertyMetric"	0.958
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoNameMetric"	0.928
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoDescriptionMetric"	0.821
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ClassesWithNoSynonymMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoNameMetric"	0.042
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.042
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoNameMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoDescriptionMetric"	0.143
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.556
"http://ecoinformatics.org/oboe/oboe.1.2/oboe.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
