Ontology	Metric	Value
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NumberOfClassesMetric"	1658
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NamesPerClassMetric"	0.999
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NamesPerPropertyMetric"	0.82
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.479
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"NamesPerObjectPropertyMetric"	2.077
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SynonymsPerClassMetric"	3.242
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerClassMetric"	1.555
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerPropertyMetric"	0.508
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.312
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DescriptionsPerObjectPropertyMetric"	1.231
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ClassesWithNoDescriptionMetric"	0.002
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ClassesWithNoSynonymMetric"	0.064
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.077
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"AnnotationPropertiesWithNoNameMetric"	0.521
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.688
"http://purl.obolibrary.org/obo/po/releases/2021-08-13/po.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
