Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"LexicalRegularitiesPerClassMetric"	0.286
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NumberOfClassesMetric"	14
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NamesPerClassMetric"	3
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NamesPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NamesPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SynonymsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerClassMetric"	1
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ClassesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ClassesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ClassesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://terminologies.gfbio.org/terms/recordbasis/2016-07-04/recordbasis.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
