Ontology	Metric	Value
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SystematicNamingMetric"	NaN
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NumberOfClassesMetric"	5
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NamesPerClassMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NamesPerPropertyMetric"	0.417
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.16
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NamesPerDataPropertyMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"NamesPerObjectPropertyMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SynonymsPerClassMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SynonymsPerPropertyMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SynonymsPerDataPropertyMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerClassMetric"	1.2
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerPropertyMetric"	0.444
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.16
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerDataPropertyMetric"	1.143
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ClassesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ClassesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ClassesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DataPropertiesWithNoNameMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"AnnotationPropertiesWithNoNameMetric"	0.84
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.84
"http://terminologies.gfbio.org/terms/rivers_de/2023-10-31/rivers_de.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
