Ontology	Metric	Value
"https://schema.org/"	"NumberOfLexicalRegularitiesMetric"	0
"https://schema.org/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://schema.org/"	"LexicalRegularitiesPerClassMetric"	0
"https://schema.org/"	"LexicalRegularityClassPercentageMetric"	0
"https://schema.org/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://schema.org/"	"SystematicNamingMetric"	NaN
"https://schema.org/"	"NumberOfClassesMetric"	897
"https://schema.org/"	"NamesPerClassMetric"	0.999
"https://schema.org/"	"NamesPerPropertyMetric"	0.996
"https://schema.org/"	"DescriptionsPerAnnotationPropertyMetric"	0.167
"https://schema.org/"	"NamesPerDataPropertyMetric"	1
"https://schema.org/"	"NamesPerObjectPropertyMetric"	0.999
"https://schema.org/"	"SynonymsPerClassMetric"	0
"https://schema.org/"	"SynonymsPerPropertyMetric"	0
"https://schema.org/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://schema.org/"	"SynonymsPerDataPropertyMetric"	0
"https://schema.org/"	"SynonymsPerObjectPropertyMetric"	0
"https://schema.org/"	"DescriptionsPerClassMetric"	0.999
"https://schema.org/"	"DescriptionsPerPropertyMetric"	0.996
"https://schema.org/"	"DescriptionsPerAnnotationPropertyMetric"	0.167
"https://schema.org/"	"DescriptionsPerDataPropertyMetric"	1
"https://schema.org/"	"DescriptionsPerObjectPropertyMetric"	0.999
"https://schema.org/"	"ClassesWithNoNameMetric"	0.001
"https://schema.org/"	"ClassesWithNoDescriptionMetric"	0.001
"https://schema.org/"	"ClassesWithNoSynonymMetric"	1
"https://schema.org/"	"ObjectPropertiesWithNoNameMetric"	0.001
"https://schema.org/"	"ObjectPropertiesWithNoDescriptionMetric"	0.001
"https://schema.org/"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://schema.org/"	"DataPropertiesWithNoNameMetric"	0
"https://schema.org/"	"DataPropertiesWithNoDescriptionMetric"	0
"https://schema.org/"	"DataPropertiesWithNoSynonymMetric"	1
"https://schema.org/"	"AnnotationPropertiesWithNoNameMetric"	0.833
"https://schema.org/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.833
"https://schema.org/"	"AnnotationPropertiesWithNoSynonymMetric"	1
