Ontology	Metric	Value
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SystematicNamingMetric"	NaN
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NumberOfClassesMetric"	791
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NamesPerClassMetric"	0.167
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NamesPerPropertyMetric"	0.017
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.469
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NamesPerDataPropertyMetric"	0.002
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"NamesPerObjectPropertyMetric"	0.146
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SynonymsPerClassMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerClassMetric"	0.342
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerPropertyMetric"	0.938
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.938
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerDataPropertyMetric"	0.97
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ClassesWithNoNameMetric"	0.833
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ClassesWithNoDescriptionMetric"	0.732
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ObjectPropertiesWithNoNameMetric"	0.854
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DataPropertiesWithNoNameMetric"	0.998
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DataPropertiesWithNoDescriptionMetric"	0.03
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"AnnotationPropertiesWithNoNameMetric"	0.531
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.531
"http://purl.org/autism-ontology/1.0/autism-merged.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
