Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NumberOfClassesMetric"	1963
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NamesPerClassMetric"	1.003
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NamesPerPropertyMetric"	1.219
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.227
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"NamesPerObjectPropertyMetric"	1.091
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SynonymsPerClassMetric"	3.257
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SynonymsPerPropertyMetric"	0.246
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SynonymsPerAnnotationPropertyMetric"	0.261
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerClassMetric"	0.913
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerPropertyMetric"	0.759
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.756
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DescriptionsPerObjectPropertyMetric"	0.818
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ClassesWithNoDescriptionMetric"	0.143
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ClassesWithNoSynonymMetric"	0.257
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.182
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"AnnotationPropertiesWithNoNameMetric"	0.216
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.472
"http://purl.obolibrary.org/obo/ado/releases/2023-09-20/ado.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.812
