Ontology	Metric	Value
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NumberOfClassesMetric"	473
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NamesPerClassMetric"	0.998
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NamesPerPropertyMetric"	0.631
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.613
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SynonymsPerClassMetric"	0.042
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerClassMetric"	0.702
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerPropertyMetric"	0.092
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.081
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DescriptionsPerObjectPropertyMetric"	0.333
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ClassesWithNoNameMetric"	0.002
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ClassesWithNoDescriptionMetric"	0.315
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ClassesWithNoSynonymMetric"	0.994
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.667
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.387
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.935
"http://purl.obolibrary.org/obo/afpo/releases/2024-03-21/afpo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
