Ontology	Metric	Value
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NumberOfClassesMetric"	4119
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NamesPerClassMetric"	1.005
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NamesPerPropertyMetric"	0.672
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.459
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NamesPerDataPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"NamesPerObjectPropertyMetric"	0.764
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SynonymsPerClassMetric"	1.301
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SynonymsPerPropertyMetric"	0.155
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"SynonymsPerObjectPropertyMetric"	0.226
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerClassMetric"	0.733
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerPropertyMetric"	0.593
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.447
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DescriptionsPerObjectPropertyMetric"	0.673
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ClassesWithNoDescriptionMetric"	0.309
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ClassesWithNoSynonymMetric"	0.572
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ObjectPropertiesWithNoNameMetric"	0.286
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.394
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.847
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DataPropertiesWithNoNameMetric"	0.333
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"AnnotationPropertiesWithNoNameMetric"	0.541
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.612
"http://purl.obolibrary.org/obo/agro/releases/2022-11-02/agro.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
