Ontology	Metric	Value
"http://purl.bioontology.org/ontology/AIR/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/AIR/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/AIR/"	"NumberOfClassesMetric"	809
"http://purl.bioontology.org/ontology/AIR/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"NamesPerPropertyMetric"	0.5
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.bioontology.org/ontology/AIR/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"SynonymsPerClassMetric"	0.005
"http://purl.bioontology.org/ontology/AIR/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerClassMetric"	0.198
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"ClassesWithNoDescriptionMetric"	0.802
"http://purl.bioontology.org/ontology/AIR/"	"ClassesWithNoSynonymMetric"	0.995
"http://purl.bioontology.org/ontology/AIR/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/AIR/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/AIR/"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.bioontology.org/ontology/AIR/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://purl.bioontology.org/ontology/AIR/"	"AnnotationPropertiesWithNoSynonymMetric"	1
