Ontology	Metric	Value
"http://childhealthservicemodels.eu/asthma"	"NumberOfLexicalRegularitiesMetric"	1
"http://childhealthservicemodels.eu/asthma"	"NumberOfLexicalRegularityClassesMetric"	1
"http://childhealthservicemodels.eu/asthma"	"LexicalRegularitiesPerClassMetric"	0.003
"http://childhealthservicemodels.eu/asthma"	"LexicalRegularityClassPercentageMetric"	0.003
"http://childhealthservicemodels.eu/asthma"	"LexicallySuggestLogicallyDefineMetric"	0
"http://childhealthservicemodels.eu/asthma"	"SystematicNamingMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"NumberOfClassesMetric"	289
"http://childhealthservicemodels.eu/asthma"	"NamesPerClassMetric"	1
"http://childhealthservicemodels.eu/asthma"	"NamesPerPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"NamesPerDataPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"NamesPerObjectPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"SynonymsPerClassMetric"	0
"http://childhealthservicemodels.eu/asthma"	"SynonymsPerPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"SynonymsPerAnnotationPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"SynonymsPerDataPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"SynonymsPerObjectPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerClassMetric"	0.01
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerDataPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"ClassesWithNoNameMetric"	0
"http://childhealthservicemodels.eu/asthma"	"ClassesWithNoDescriptionMetric"	0.99
"http://childhealthservicemodels.eu/asthma"	"ClassesWithNoSynonymMetric"	1
"http://childhealthservicemodels.eu/asthma"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"DataPropertiesWithNoNameMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://childhealthservicemodels.eu/asthma"	"AnnotationPropertiesWithNoNameMetric"	1
"http://childhealthservicemodels.eu/asthma"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://childhealthservicemodels.eu/asthma"	"AnnotationPropertiesWithNoSynonymMetric"	1
