Ontology	Metric	Value
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"LexicalRegularitiesPerClassMetric"	0.01
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NumberOfClassesMetric"	309
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NamesPerPropertyMetric"	0.353
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.353
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SynonymsPerClassMetric"	0.152
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerClassMetric"	0.89
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerPropertyMetric"	0.147
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.147
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ClassesWithNoDescriptionMetric"	0.117
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ClassesWithNoSynonymMetric"	0.861
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.647
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.853
"http://purl.obolibrary.org/obo/apo/releases/2024-04-26/apo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
