Ontology	Metric	Value
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NumberOfLexicalRegularitiesMetric"	16
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"LexicalRegularitiesPerClassMetric"	0.308
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SystematicNamingMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NumberOfClassesMetric"	52
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NamesPerClassMetric"	1
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NamesPerPropertyMetric"	0.357
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerAnnotationPropertyMetric"	0.182
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NamesPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"NamesPerObjectPropertyMetric"	1
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SynonymsPerClassMetric"	0.192
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SynonymsPerPropertyMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerClassMetric"	1.365
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerPropertyMetric"	0.143
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DescriptionsPerObjectPropertyMetric"	0.667
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ClassesWithNoNameMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ClassesWithNoDescriptionMetric"	0.173
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ClassesWithNoSynonymMetric"	0.808
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ObjectPropertiesWithNoDescriptionMetric"	0.333
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"AnnotationPropertiesWithNoNameMetric"	0.818
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.dataone.org/odo/ARCRC.owl/0.10"	"AnnotationPropertiesWithNoSynonymMetric"	1
