Ontology	Metric	Value
"http://purl.bioontology.org/ontology/ATC/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/ATC/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/ATC/"	"NumberOfClassesMetric"	6800
"http://purl.bioontology.org/ontology/ATC/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"NamesPerPropertyMetric"	0.545
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerAnnotationPropertyMetric"	0.286
"http://purl.bioontology.org/ontology/ATC/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"SynonymsPerClassMetric"	0.095
"http://purl.bioontology.org/ontology/ATC/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"ClassesWithNoSynonymMetric"	0.905
"http://purl.bioontology.org/ontology/ATC/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ATC/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ATC/"	"AnnotationPropertiesWithNoNameMetric"	0.714
"http://purl.bioontology.org/ontology/ATC/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.714
"http://purl.bioontology.org/ontology/ATC/"	"AnnotationPropertiesWithNoSynonymMetric"	1
