Ontology	Metric	Value
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SystematicNamingMetric"	NaN
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NumberOfClassesMetric"	941
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NamesPerClassMetric"	0.997
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NamesPerPropertyMetric"	0.928
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.688
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NamesPerDataPropertyMetric"	1
"http://www.bioassayontology.org/bao/bao_complete.owl"	"NamesPerObjectPropertyMetric"	1
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SynonymsPerClassMetric"	1.062
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SynonymsPerPropertyMetric"	0.014
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SynonymsPerAnnotationPropertyMetric"	0.062
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerClassMetric"	0.445
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerPropertyMetric"	0.087
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.312
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DescriptionsPerObjectPropertyMetric"	0.02
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ClassesWithNoNameMetric"	0.005
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ClassesWithNoDescriptionMetric"	0.592
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ClassesWithNoSynonymMetric"	0.664
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.98
"http://www.bioassayontology.org/bao/bao_complete.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DataPropertiesWithNoNameMetric"	0
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.bioassayontology.org/bao/bao_complete.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.bioassayontology.org/bao/bao_complete.owl"	"AnnotationPropertiesWithNoNameMetric"	0.562
"http://www.bioassayontology.org/bao/bao_complete.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.688
"http://www.bioassayontology.org/bao/bao_complete.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.938
