Ontology	Metric	Value
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NumberOfLexicalRegularitiesMetric"	10
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NumberOfLexicalRegularityClassesMetric"	4
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"LexicalRegularitiesPerClassMetric"	0.286
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"LexicalRegularityClassPercentageMetric"	0.114
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SystematicNamingMetric"	0.262
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NumberOfClassesMetric"	35
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NamesPerPropertyMetric"	0.652
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.652
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SynonymsPerClassMetric"	0.029
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerClassMetric"	0.229
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerPropertyMetric"	0.087
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.087
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ClassesWithNoDescriptionMetric"	0.771
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ClassesWithNoSynonymMetric"	0.971
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.348
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.913
"http://purl.obolibrary.org/obo/bfo/2.0/bfo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
