Ontology	Metric	Value
"http://purl.bioontology.org/ontology/BIN"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"NumberOfClassesMetric"	138
"http://purl.bioontology.org/ontology/BIN"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/BIN"	"NamesPerPropertyMetric"	1.147
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerAnnotationPropertyMetric"	1.147
"http://purl.bioontology.org/ontology/BIN"	"NamesPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"SynonymsPerClassMetric"	1.362
"http://purl.bioontology.org/ontology/BIN"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerClassMetric"	1.261
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerPropertyMetric"	0.824
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerAnnotationPropertyMetric"	0.824
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"ClassesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/BIN"	"ClassesWithNoSynonymMetric"	0.167
"http://purl.bioontology.org/ontology/BIN"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.bioontology.org/ontology/BIN"	"AnnotationPropertiesWithNoNameMetric"	0.147
"http://purl.bioontology.org/ontology/BIN"	"AnnotationPropertiesWithNoDescriptionMetric"	0.412
"http://purl.bioontology.org/ontology/BIN"	"AnnotationPropertiesWithNoSynonymMetric"	1
