Ontology	Metric	Value
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NumberOfLexicalRegularitiesMetric"	3
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NumberOfLexicalRegularityClassesMetric"	2
"https://w3id.org/biolink/biolink-model.owl.ttl"	"LexicalRegularitiesPerClassMetric"	0.006
"https://w3id.org/biolink/biolink-model.owl.ttl"	"LexicalRegularityClassPercentageMetric"	0.004
"https://w3id.org/biolink/biolink-model.owl.ttl"	"LexicallySuggestLogicallyDefineMetric"	0.681
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SystematicNamingMetric"	0.3
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NumberOfClassesMetric"	480
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NamesPerClassMetric"	0.948
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NamesPerPropertyMetric"	0.972
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NamesPerDataPropertyMetric"	1
"https://w3id.org/biolink/biolink-model.owl.ttl"	"NamesPerObjectPropertyMetric"	0.997
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SynonymsPerClassMetric"	0.138
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SynonymsPerPropertyMetric"	0.156
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SynonymsPerDataPropertyMetric"	0.154
"https://w3id.org/biolink/biolink-model.owl.ttl"	"SynonymsPerObjectPropertyMetric"	0.164
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerClassMetric"	0.497
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerPropertyMetric"	0.687
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerDataPropertyMetric"	0.771
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DescriptionsPerObjectPropertyMetric"	0.658
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ClassesWithNoNameMetric"	0.052
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ClassesWithNoDescriptionMetric"	0.503
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ClassesWithNoSynonymMetric"	0.923
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ObjectPropertiesWithNoNameMetric"	0.003
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ObjectPropertiesWithNoDescriptionMetric"	0.342
"https://w3id.org/biolink/biolink-model.owl.ttl"	"ObjectPropertiesWithNoSynonymMetric"	0.912
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DataPropertiesWithNoNameMetric"	0
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DataPropertiesWithNoDescriptionMetric"	0.229
"https://w3id.org/biolink/biolink-model.owl.ttl"	"DataPropertiesWithNoSynonymMetric"	0.914
"https://w3id.org/biolink/biolink-model.owl.ttl"	"AnnotationPropertiesWithNoNameMetric"	1
"https://w3id.org/biolink/biolink-model.owl.ttl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://w3id.org/biolink/biolink-model.owl.ttl"	"AnnotationPropertiesWithNoSynonymMetric"	1
