Ontology	Metric	Value
"http://bioontology.org/projects/ontologies/birnlex"	"NumberOfLexicalRegularitiesMetric"	2
"http://bioontology.org/projects/ontologies/birnlex"	"NumberOfLexicalRegularityClassesMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"LexicalRegularitiesPerClassMetric"	0.001
"http://bioontology.org/projects/ontologies/birnlex"	"LexicalRegularityClassPercentageMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"SystematicNamingMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"NumberOfClassesMetric"	3580
"http://bioontology.org/projects/ontologies/birnlex"	"NamesPerClassMetric"	0.998
"http://bioontology.org/projects/ontologies/birnlex"	"NamesPerPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"NamesPerDataPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"NamesPerObjectPropertyMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"SynonymsPerClassMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"SynonymsPerPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"SynonymsPerAnnotationPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"SynonymsPerDataPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"SynonymsPerObjectPropertyMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerClassMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerDataPropertyMetric"	0
"http://bioontology.org/projects/ontologies/birnlex"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"ClassesWithNoNameMetric"	0.002
"http://bioontology.org/projects/ontologies/birnlex"	"ClassesWithNoDescriptionMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"ClassesWithNoSynonymMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://bioontology.org/projects/ontologies/birnlex"	"DataPropertiesWithNoNameMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"DataPropertiesWithNoDescriptionMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"DataPropertiesWithNoSynonymMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"AnnotationPropertiesWithNoNameMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://bioontology.org/projects/ontologies/birnlex"	"AnnotationPropertiesWithNoSynonymMetric"	1
