Ontology	Metric	Value
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SystematicNamingMetric"	NaN
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NumberOfClassesMetric"	186
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NamesPerClassMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NamesPerPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NamesPerDataPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"NamesPerObjectPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SynonymsPerClassMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SynonymsPerPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerClassMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ClassesWithNoNameMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ClassesWithNoDescriptionMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DataPropertiesWithNoNameMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.owl-ontologies.com/BiodiversityOntologyFull.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
